Country,Year,Pop_mill,Pop_male_mill,Pop_female_mill,Pop_0_14_per,Pop_60_plus_per,Pop_density,Surface_area_thou_km2
Dominica,2020,0.07,0.04,0.04,20.1,13.8,96,1
Dominican Republic,2020,11,5.53,5.47,27.6,10.5,227.7,49
Ecuador,2020,17.59,8.79,8.8,26.5,10.9,70.8,257
Egypt,2020,107.47,54.36,53.11,33.2,7.5,108,1002
El Salvador,2020,6.29,3,3.3,26.1,11.4,303.7,21
Equatorial Guinea,2020,1.6,0.84,0.75,38.9,5,56.9,28
Eritrea,2020,3.56,1.75,1.8,40.4,6,29.4,121
Estonia,2020,1.33,0.63,0.7,16.5,26.6,30.6,45
Eswatini,2020,1.18,0.59,0.59,35.4,6.1,68,17
Ethiopia,2020,117.19,58.91,58.28,40.3,4.9,117.2,1104
Falkland Islands (Malvinas),2020,0,0,0,18,15.9,0.3,12
Faroe Islands,2020,0.05,0.03,0.03,20.7,23.5,37.8,1
Fiji,2020,0.92,0.46,0.46,29.2,9.3,50.4,18
Finland,2020,5.53,2.73,2.8,15.7,29,18.3,337
France,2020,64.48,31.18,33.3,17.6,27.1,116.9,552
French Guiana,2020,0.29,0.14,0.15,32.4,8.9,3.5,84
French Polynesia,2020,0.3,0.15,0.15,22.1,14,82,4
Gabon,2020,2.29,1.17,1.12,36.5,5.9,8.9,268
Gambia,2020,2.57,1.28,1.29,43.9,4,254.3,11
Georgia,2020,3.77,1.77,1.99,20.9,20.7,54.2,70
Germany,2020,83.33,41.12,42.21,13.8,28.8,239.1,358
Ghana,2020,32.18,16.05,16.13,37.6,5.6,141.4,239
Gibraltar,2020,0.03,0.02,0.02,17.2,26.3,3270.9,0
Greece,2020,10.51,5.15,5.36,14.2,28.7,80.4,132
Greenland,2020,0.06,0.03,0.03,20.9,15.3,0.1,2166
Grenada,2020,0.12,0.06,0.06,24.1,14.3,363.7,0
Guadeloupe,2020,0.4,0.18,0.22,18.7,25.8,243,2
Guam,2020,0.17,0.09,0.08,26.5,16,312.8,1
Guatemala,2020,17.36,8.6,8.76,33.5,7.1,162,109
Guinea,2020,13.21,6.52,6.69,42.1,5.2,53.7,246
Guinea-Bissau,2020,2.02,0.99,1.02,41,4.5,71.7,36
Guyana,2020,0.8,0.39,0.41,28.9,9.6,4.1,215
Haiti,2020,11.31,5.61,5.7,32.6,7,410.1,28
Holy See,2020,,,,,,1181.8,0
Honduras,2020,10.12,5.11,5.01,31.1,6.4,92.8,112
Hong Kong,2020,7.5,3.46,4.04,12.2,26.7,6825.3,1
Hungary,2020,9.75,4.67,5.08,14.6,26.6,107.7,93
Iceland,2020,0.37,0.19,0.18,18.7,20.2,3.7,103
India,2020,1396.39,721,675.39,26.1,10.2,469.7,3287
Indonesia,2020,271.86,136.93,134.93,25.7,10.5,142.3,1911
Iran,2020,87.29,44.13,43.16,24,10.9,53.6,1631
Iraq,2020,42.56,21.3,21.26,38.5,5,98,435
Ireland,2020,4.95,2.45,2.5,20.2,19.7,72.3,70
Isle of Man,2020,0.08,0.04,0.04,15.2,28.5,146.9,1
Israel,2020,8.76,4.36,4.39,28.2,15.9,404.6,22
Italy,2020,59.5,28.99,30.51,12.9,30,201,302
Jamaica,2020,2.82,1.4,1.42,20.8,11.2,260.4,11
Japan,2020,125.24,60.88,64.36,11.9,35.4,332.4,378
Jordan,2020,10.93,5.67,5.26,33.1,5.9,123.1,89
Kazakhstan,2020,18.98,9.12,9.86,29.2,12.4,7,2725
Kenya,2020,51.99,25.78,26.21,39,4.4,89.5,592
Kiribati,2020,0.13,0.06,0.07,36.2,5.9,174.2,1
Korea,2020,25.87,12.78,13.09,19,16.5,214.8,121
Kuwait,2020,4.36,2.67,1.69,21,7.6,244.7,18
